989.82	7.8581
991.29	7.8576
992.76	7.8571
994.23	7.8567
995.70	7.8562
997.16	7.8557
998.63	7.8552
1000.10	7.8548
1001.57	7.8541
1003.03	7.8537
1004.50	7.8532
1005.97	7.8527
1007.44	7.8522
1008.90	7.8518
1010.37	7.8513
1011.84	7.8508
1013.31	7.8503
1014.77	7.8499
1016.24	7.8493
1017.71	7.8490
1019.18	7.8485
1020.65	7.8482
1022.11	7.8476
1023.58	7.8473
1025.05	7.8468
1026.52	7.8464
1027.98	7.8459
1029.45	7.8455
1030.92	7.8451
1032.39	7.8447
1033.86	7.8442
1035.32	7.8439
1036.79	7.8434
1038.26	7.8430
1039.73	7.8425
1041.19	7.8422
1042.66	7.8417
1044.13	7.8413
1045.60	7.8408
1047.06	7.8405
1048.53	7.8400
1050.00	7.8394
_end of data_
[Titles]
X-Axis=Wavelength [nm]
Y-Axis=Intensity
