Date,Time,Carrier,X_Pos,Y_Pos,Data1,Data2,H_Avg,I_Avg,J_L,K_a,L_b,M_L,N_a,O_b
2020-11-20,12:33:48,48,1320,590,6,0,4.9844,0.9477,24.25,1.69,-2.99,98.29,-0.24,0.51
2020-11-20,12:33:57,48,1320,1010,10,0,4.9577,0.9478,24.29,1.58,-2.56,98.27,-0.23,0.45
2020-11-20,12:34:01,48,1320,1205,12,2,4.9776,0.9463,24.23,1.72,-3.07,98.23,-0.25,0.51
2020-11-20,12:35:09,8,1320,165,2,0,4.9955,0.9479,24.24,1.77,-3.65,98.3,-0.25,0.58
2020-11-20,12:35:18,8,1320,590,6,0,4.982,0.9478,24.21,1.8,-3.49,98.29,-0.25,0.56
2020-11-20,12:35:27,8,1320,1010,10,0,4.9724,0.9477,24.24,1.7,-3.06,98.28,-0.25,0.51
2020-11-20,12:35:31,8,1320,1205,12,2,4.9963,0.9469,24.21,1.81,-3.55,98.26,-0.27,0.58
2020-11-20,12:36:38,37,1320,165,2,0,4.9658,0.9482,24.24,1.69,-3.33,98.3,-0.24,0.53
2020-11-20,12:36:47,37,1320,590,6,0,4.9707,0.9481,24.23,1.69,-3.15,98.3,-0.24,0.5
2020-11-20,12:36:56,37,1320,1010,10,0,4.954,0.948,24.22,1.7,-2.86,98.29,-0.23,0.47
2020-11-20,12:37:00,37,1320,1205,12,2,4.9922,0.9476,24.25,1.8,-3.37,98.28,-0.25,0.54
2020-11-20,12:38:08,10,1320,165,2,0,4.9572,0.948,24.21,1.76,-3.58,98.3,-0.26,0.6
2020-11-20,12:38:17,10,1320,590,6,0,4.9756,0.9477,24.22,1.79,-3.41,98.29,-0.26,0.57
2020-11-20,12:38:26,10,1320,1010,10,0,4.9746,0.9476,24.21,1.8,-3.12,98.28,-0.26,0.53
2020-11-20,12:38:31,10,1320,1205,12,2,5.0169,0.9471,24.24,1.87,-3.52,98.27,-0.26,0.59
2020-11-20,12:39:38,2,1320,165,2,0,4.9663,0.9479,24.22,1.75,-3.65,98.29,-0.25,0.6
2020-11-20,12:39:47,2,1320,590,6,0,4.9757,0.9478,24.2,1.83,-3.58,98.29,-0.26,0.59
2020-11-20,12:39:56,2,1320,1010,10,0,4.986,0.9474,24.24,1.81,-3.25,98.27,-0.25,0.54
2020-11-20,12:40:00,2,1320,1205,12,2,5.0126,0.9472,24.22,1.91,-3.7,98.28,-0.27,0.62
2020-11-20,12:41:07,63,1320,165,2,0,4.9578,0.9481,24.22,1.7,-3.3,98.29,-0.24,0.55
2020-11-20,12:41:16,63,1320,590,6,0,4.9702,0.9479,24.23,1.7,-3.11,98.29,-0.24,0.52
2020-11-20,12:41:26,63,1320,1010,10,0,4.9636,0.9478,24.26,1.69,-2.85,98.28,-0.24,0.48
2020-11-20,12:41:30,63,1320,1205,12,2,4.9791,0.9472,24.23,1.8,-3.35,98.27,-0.25,0.56
2020-11-20,12:42:35,3,1320,165,2,0,4.9878,0.9478,24.22,1.75,-3.46,98.29,-0.25,0.57
2020-11-20,12:42:44,3,1320,590,6,0,4.9951,0.9477,24.21,1.76,-3.28,98.29,-0.25,0.55
2020-11-20,12:42:53,3,1320,1010,10,0,4.9717,0.9475,24.24,1.68,-2.9,98.27,-0.24,0.51
2020-11-20,12:42:58,3,1320,1205,12,2,4.9998,0.9473,24.24,1.78,-3.41,98.28,-0.25,0.57
2020-11-20,12:44:07,12,1320,165,2,0,4.9811,0.9478,24.21,1.78,-3.47,98.29,-0.25,0.58
2020-11-20,12:44:16,12,1320,590,6,0,4.9839,0.9477,24.25,1.73,-3.25,98.29,-0.25,0.54
2020-11-20,12:44:25,12,1320,1010,10,0,4.9508,0.948,24.27,1.63,-2.83,98.28,-0.23,0.47
2020-11-20,12:44:29,12,1320,1205,12,2,4.9833,0.9453,24.24,1.77,-3.35,98.19,-0.26,0.53
2020-11-20,12:45:36,33,1320,165,2,0,4.9619,0.9482,24.19,1.76,-3.48,98.3,-0.25,0.56
2020-11-20,12:45:46,33,1320,590,6,0,4.9759,0.948,24.24,1.72,-3.24,98.3,-0.25,0.53
2020-11-20,12:45:55,33,1320,1010,10,0,4.9525,0.9478,24.22,1.7,-2.93,98.28,-0.24,0.5
2020-11-20,12:45:59,33,1320,1205,12,2,4.9783,0.9476,24.21,1.82,-3.45,98.28,-0.25,0.56
2020-11-20,12:47:06,14,1320,165,2,0,4.966,0.9479,24.2,1.78,-3.6,98.29,-0.25,0.59
2020-11-20,12:47:16,14,1320,590,6,0,4.9679,0.9478,24.21,1.76,-3.41,98.29,-0.25,0.57
2020-11-20,12:47:24,14,1320,1010,10,0,4.9586,0.9478,24.22,1.73,-3.06,98.28,-0.24,0.5
2020-11-20,12:47:29,14,1320,1205,12,2,4.9911,0.9474,24.22,1.85,-3.59,98.28,-0.26,0.58
2020-11-20,12:48:36,40,1320,165,2,0,4.9636,0.9481,24.2,1.75,-3.37,98.3,-0.25,0.56
2020-11-20,12:48:45,40,1320,590,6,0,4.9718,0.948,24.22,1.73,-3.19,98.29,-0.24,0.51
2020-11-20,12:48:54,40,1320,1010,10,0,4.9704,0.9478,24.27,1.66,-2.79,98.28,-0.23,0.47
2020-11-20,12:48:58,40,1320,1205,12,2,4.9767,0.9477,24.23,1.79,-3.32,98.28,-0.25,0.54
2020-11-20,12:50:06,27,1320,165,2,0,4.976,0.948,24.21,1.77,-3.53,98.3,-0.25,0.57
2020-11-20,12:50:15,27,1320,590,6,0,4.9857,0.9478,24.24,1.74,-3.27,98.29,-0.24,0.54
2020-11-20,12:50:24,27,1320,1010,10,0,4.9762,0.9478,24.27,1.69,-2.93,98.28,-0.23,0.48
2020-11-20,12:50:29,27,1320,1205,12,2,4.9849,0.9475,24.22,1.8,-3.46,98.28,-0.25,0.56
2020-11-20,12:51:34,26,1320,165,2,0,4.9843,0.9478,24.25,1.76,-3.54,98.29,-0.25,0.59
2020-11-20,12:51:43,26,1320,590,6,0,4.9837,0.9479,24.23,1.78,-3.34,98.29,-0.25,0.55
2020-11-20,12:51:52,26,1320,1010,10,0,4.9682,0.9477,24.23,1.71,-2.95,98.28,-0.24,0.5
2020-11-20,12:51:57,26,1320,1205,12,2,5.0069,0.9472,24.25,1.81,-3.41,98.27,-0.26,0.56
2020-11-20,12:53:05,18,1320,165,2,0,4.9641,0.9481,24.22,1.73,-3.48,98.3,-0.24,0.56
2020-11-20,12:53:14,18,1320,590,6,0,4.963,0.948,24.2,1.73,-3.29,98.29,-0.24,0.54
2020-11-20,12:53:23,18,1320,1010,10,0,4.9567,0.9479,24.23,1.66,-2.92,98.28,-0.24,0.49
2020-11-20,12:53:28,18,1320,1205,12,2,4.9776,0.9475,24.2,1.8,-3.44,98.28,-0.25,0.55
2020-11-20,12:54:34,7,1320,165,2,0,4.9405,0.9483,24.21,1.7,-3.4,98.3,-0.25,0.56
2020-11-20,12:54:43,7,1320,590,6,0,4.9589,0.9481,24.22,1.71,-3.24,98.29,-0.25,0.54
2020-11-20,12:54:52,7,1320,1010,10,0,4.9331,0.9482,24.25,1.58,-2.77,98.28,-0.23,0.46
2020-11-20,12:54:56,7,1320,1205,12,2,4.9686,0.9477,24.24,1.74,-3.34,98.28,-0.25,0.54
2020-11-20,12:56:04,13,1320,165,2,0,4.9712,0.948,24.24,1.75,-3.63,98.29,-0.25,0.58
2020-11-20,12:56:13,13,1320,590,6,0,4.9744,0.9478,24.21,1.8,-3.49,98.29,-0.26,0.58
2020-11-20,12:56:22,13,1320,1010,10,0,4.952,0.9478,24.22,1.69,-3.02,98.28,-0.25,0.52
2020-11-20,12:56:26,13,1320,1205,12,2,4.9863,0.9474,24.24,1.78,-3.48,98.27,-0.26,0.58
2020-11-20,12:57:33,35,1320,165,2,0,4.9858,0.9479,24.22,1.82,-3.77,98.3,-0.26,0.59
2020-11-20,12:57:43,35,1320,590,6,0,4.9944,0.9477,24.21,1.85,-3.59,98.3,-0.27,0.58
2020-11-20,12:57:51,35,1320,1010,10,0,4.972,0.9476,24.23,1.78,-3.2,98.28,-0.26,0.54
2020-11-20,12:57:56,35,1320,1205,12,2,4.9724,0.9475,24.19,1.87,-3.69,98.28,-0.26,0.6
2020-11-20,12:59:03,32,1320,165,2,0,4.961,0.9482,24.22,1.94,-4.04,98.3,-0.27,0.64
2020-11-20,12:59:12,32,1320,590,6,0,4.9677,0.9479,24.22,1.99,-3.86,98.29,-0.28,0.63
2020-11-20,12:59:20,32,1320,1010,10,0,4.9467,0.9479,24.22,1.93,-3.47,98.28,-0.27,0.56
2020-11-20,12:59:23,32,1320,1100,11,0,4.9281,0.9335,24.21,1.86,-3.49,97.71,-0.28,0.48
2020-11-20,13:00:34,31,1320,165,2,0,4.9921,0.9478,24.24,1.93,-3.85,98.29,-0.27,0.61
2020-11-20,13:00:43,31,1320,590,6,0,4.9797,0.9477,24.21,1.92,-3.65,98.29,-0.27,0.59
2020-11-20,13:00:52,31,1320,1010,10,0,4.9447,0.9479,24.22,1.8,-3.16,98.28,-0.26,0.54
2020-11-20,13:00:57,31,1320,1205,12,2,4.9899,0.9472,24.25,1.93,-3.7,98.27,-0.27,0.61
2020-11-20,13:15:30,33,1320,165,2,0,4.9585,0.9482,24.21,1.63,-3.25,98.3,-0.23,0.52
2020-11-20,13:15:39,33,1320,590,6,0,4.9674,0.948,24.24,1.58,-2.95,98.29,-0.23,0.49
2020-11-20,13:15:48,33,1320,1010,10,0,4.9529,0.948,24.25,1.54,-2.64,98.28,-0.22,0.46
2020-11-20,13:15:52,33,1320,1205,12,2,4.9724,0.9476,24.22,1.67,-3.15,98.28,-0.24,0.52
2020-11-20,13:16:59,14,1320,165,2,0,4.9582,0.9481,24.19,1.74,-3.51,98.3,-0.24,0.57
2020-11-20,13:17:09,14,1320,590,6,0,4.9646,0.9479,24.22,1.73,-3.34,98.29,-0.25,0.57
2020-11-20,13:17:17,14,1320,1010,10,0,4.9491,0.9478,24.23,1.66,-2.92,98.28,-0.24,0.51
2020-11-20,13:17:20,14,1320,1100,11,0,4.9324,0.9479,24.22,1.62,-3.01,98.28,-0.23,0.5
2020-11-20,13:18:29,40,1320,165,2,0,4.9622,0.9481,24.23,1.71,-3.27,98.3,-0.24,0.53
2020-11-20,13:18:39,40,1320,590,6,0,4.9629,0.9481,24.23,1.67,-3.07,98.29,-0.24,0.52
2020-11-20,13:18:48,40,1320,1010,10,0,4.9432,0.9481,24.24,1.62,-2.71,98.28,-0.22,0.44
2020-11-20,13:18:52,40,1320,1205,12,2,4.9599,0.9478,24.21,1.75,-3.25,98.28,-0.25,0.53
2020-11-20,13:19:59,27,1320,165,2,0,4.9611,0.9481,24.2,1.74,-3.45,98.3,-0.25,0.57
2020-11-20,13:20:08,27,1320,590,6,0,4.973,0.9478,24.2,1.78,-3.35,98.29,-0.25,0.55
2020-11-20,13:20:18,27,1320,1010,10,0,4.9447,0.9478,24.21,1.66,-2.87,98.28,-0.24,0.5
2020-11-20,13:20:22,27,1320,1205,12,2,4.9627,0.9475,24.2,1.78,-3.42,98.28,-0.26,0.57
2020-11-20,13:21:28,26,1320,165,2,0,4.974,0.9481,24.22,1.78,-3.54,98.3,-0.26,0.58
